사용일자,호선명,역명,승차 총 승객수,하차 총 승객수,승하차 총 승객수,등록일자
20201201,8호선,가락시장,7050,7931,14981,20201204
20201201,8호선,석촌,6902,7846,14748,20201204
20201201,8호선,잠실(송파구청),11865,13466,25331,20201204
20201201,8호선,몽촌토성(평화의문),4986,5191,10177,20201204
20201201,8호선,강동구청,9548,10062,19610,20201204
20201201,8호선,천호(풍납토성),13945,15417,29362,20201204
20201201,8호선,암사,17412,15561,32973,20201204
20201201,7호선,부평구청,10767,8840,19607,20201204
20201201,7호선,굴포천,7829,8399,16228,20201204
20201201,7호선,삼산체육관,4294,3939,8233,20201204
20201201,7호선,상동,10895,11272,22167,20201204
20201201,7호선,부천시청,10825,10794,21619,20201204
20201201,7호선,신중동,12868,12693,25561,20201204
20201201,7호선,춘의,9205,9050,18255,20201204
20201201,7호선,부천종합운동장,4053,3554,7607,20201204
20201201,7호선,까치울,6742,6430,13172,20201204
20201201,7호선,온수(성공회대입구),9748,8989,18737,20201204
20201201,7호선,천왕,9999,9567,19566,20201204
20201201,7호선,광명사거리,20575,20392,40967,20201204
20201201,7호선,철산,19363,19712,39075,20201204
20201201,7호선,가산디지털단지,44949,45150,90099,20201204
20201201,7호선,남구로,15568,16486,32054,20201204
20201201,7호선,대림(구로구청),7089,7022,14111,20201204
20201201,7호선,신풍,10591,10106,20697,20201204
20201201,7호선,보라매,8882,8833,17715,20201204
20201201,7호선,신대방삼거리,15043,14798,29841,20201204
20201201,7호선,장승배기,8839,8751,17590,20201204
20201201,7호선,상도,9408,9331,18739,20201204
20201201,7호선,숭실대입구(살피재),10627,10924,21551,20201204
20201201,7호선,남성,10330,9604,19934,20201204
20201201,7호선,이수,13558,13210,26768,20201204
20201201,7호선,내방,13418,13710,27128,20201204
20201201,7호선,고속터미널,12827,11346,24173,20201204
20201201,7호선,반포,4941,4801,9742,20201204
20201201,7호선,논현,18859,20020,38879,20201204
20201201,7호선,학동,23092,24310,47402,20201204
20201201,7호선,강남구청,14794,16026,30820,20201204
20201201,7호선,청담,18453,20299,38752,20201204
20201201,7호선,뚝섬유원지,6307,6205,12512,20201204
20201201,7호선,건대입구,10250,10482,20732,20201204
20201201,7호선,어린이대공원(세종대),10520,10387,20907,20201204
20201201,7호선,군자(능동),13191,10727,23918,20201204
20201201,7호선,중곡,9010,8568,17578,20201204
20201201,7호선,용마산(용마폭포공원),5570,5387,10957,20201204
20201201,7호선,사가정,15084,15033,30117,20201204
