연도,구분,총구매액(천원),녹색제품구매액(천원),구매비율
2017,본사,412847,372388,90.2
2017,당진화력,1212265,1165459,96.1
2017,울산화력,170720,168199,98.5
2017,호남화력,241799,240701,99.5
2017,동해화력,473184,426523,90.1
2017,일산화력,29130,29130,100
2018,본사,534651,534651,100
2018,당진화력,437228,436474,99.8
2018,울산화력,94172,94172,100
2018,호남화력,450000,450000,100
2018,동해화력,12519,12519,100
2018,일산화력,19270,19270,100
2019,본사,424095,399984,94.3
2019,당진화력,1550580,1387140,89.5
2019,울산화력,263950,258088,97.8
2019,호남화력,297136,286751,96.5
2019,동해화력,313656,313656,100
2019,일산화력,51049,51049,100
