시도,시군구,읍면동,피해 유형,피해 인구,피해 시작일,피해 종료일
강원도,속초시,교동,제한급수,"11,161",2015-06-17,2015-06-26
강원도,속초시,교동,제한급수,"10,384",2018-02-06,2018-03-05
강원도,속초시,금호동,제한급수,"7,417",2015-06-17,2015-06-26
강원도,속초시,금호동,제한급수,"6,834",2018-02-06,2018-03-05
강원도,속초시,노학동,제한급수,"23,541",2015-06-17,2015-06-26
강원도,속초시,노학동,제한급수,"22,874",2018-02-06,2018-03-05
강원도,속초시,대포동,제한급수,"3,382",2015-06-17,2015-06-26
강원도,속초시,대포동,제한급수,"3,168",2018-02-06,2018-03-05
강원도,속초시,동명동,제한급수,"3,691",2015-06-17,2015-06-26
강원도,속초시,동명동,제한급수,"4,341",2018-02-06,2018-03-05
강원도,속초시,영랑동,제한급수,"5,336",2015-06-17,2015-06-26
강원도,속초시,영랑동,제한급수,"5,029",2018-02-06,2018-03-05
강원도,속초시,조양동,제한급수,"23,996",2015-06-17,2015-06-26
강원도,속초시,조양동,제한급수,"25,016",2018-02-06,2018-03-05
강원도,속초시,청호동,제한급수,"3,941",2015-06-17,2015-06-26
강원도,속초시,청호동,제한급수,"4,703",2018-02-06,2018-03-05
강원도,정선군,사북읍/고한읍/남면,제한+운반급수,"4,800",2009-01-12,2009-02-18
강원도,태백시,구문소동,제한급수,"3,323",2009-01-06,2009-03-25
강원도,태백시,문곡소도동,제한급수,"4,663",2009-01-06,2009-03-25
강원도,태백시,삼수동,제한급수,"7,234",2009-01-06,2009-03-25
강원도,태백시,상장동,제한급수,"16,259",2009-01-06,2009-03-25
강원도,태백시,장성동,제한급수,"4,054",2009-01-06,2009-03-25
강원도,태백시,철암동,제한급수,"2,639",2009-01-06,2009-03-25
강원도,태백시,황연동,제한급수,"5,547",2009-01-06,2009-03-25
강원도,태백시,황지동,제한급수,"7,566",2009-01-06,2009-03-25
경상남도,남해군,고현면,제한급수,"1,618",2014-02-15,2014-03-17
경상남도,남해군,남면,제한급수,"3,233",2014-01-10,2014-03-17
경상남도,남해군,남해읍,제한급수,"11,631",2013-12-01,2013-12-31
경상남도,남해군,미조면,제한급수,"2,767",2014-02-17,2014-03-17
경상남도,남해군,이동면,제한급수,"1,667",2013-10-23,2013-12-31
경상남도,남해군,이동면,제한급수,"2,412",2014-01-01,2014-03-20
경상북도,영덕군,강구면,제한급수,229,2009-02-11,2009-04-15
경상북도,영덕군,남정면,제한급수,152,2009-02-11,2009-04-15
경상북도,영덕군,영덕읍,제한급수,381,2009-02-11,2009-04-15
전라남도,고흥군,금산면,제한급수,"1,000",2008-05-30,2008-06-20
전라남도,신안군,비금면,제한급수,"3,694",2015-12-14,2015-12-31
전라남도,신안군,비금면,제한급수,"3,694",2016-01-01,2016-04-29
전라남도,신안군,안좌면,제한급수,"2,971",2015-11-01,2015-12-31
전라남도,신안군,안좌면,제한급수,"2,971",2016-01-01,2016-05-04
전라남도,신안군,안좌면,제한급수,"2,988",2017-08-15,2017-12-31
전라남도,신안군,안좌면,제한급수,"2,988",2018-01-01,2018-04-23
전라남도,신안군,임자면,제한급수,"3,316",2015-11-02,2015-12-31
전라남도,신안군,임자면,제한급수,"3,316",2016-01-01,2016-04-27
전라남도,신안군,임자면,제한급수,"3,316",2017-06-10,2017-12-31
전라남도,신안군,임자면,제한급수,"3,313",2018-01-01,2018-04-08
전라남도,신안군,자은면,제한급수,"2,380",2017-07-10,2017-07-14
전라남도,신안군,팔금면,제한급수,"1,109",2015-11-01,2015-12-31
전라남도,신안군,팔금면,제한급수,"1,109",2016-01-01,2016-05-04
전라남도,신안군,팔금면,제한급수,"1,115",2017-08-15,2017-12-31
전라남도,신안군,팔금면,제한급수,"1,115",2018-01-01,2018-04-23
전라남도,여수시,화정면,제한+운반급수,806,2019-01-16,2019-05-02
전라남도,완도군,고금면,제한급수,"4,258",2014-02-03,2014-05-25
전라남도,완도군,금일읍,제한급수,"1,200",2008-02-18,2008-05-26
전라남도,완도군,금일읍,제한급수,"1,200",2008-12-01,2009-04-20
전라남도,완도군,금일읍,제한급수,"1,200",2009-12-28,2010-03-18
전라남도,완도군,금일읍,제한급수,"1,200",2011-03-21,2011-04-14
전라남도,완도군,금일읍,제한급수,"1,200",2013-09-01,2014-05-31
전라남도,완도군,노화읍,제한급수,"1,500",2007-12-10,2008-05-28
전라남도,완도군,노화읍,제한급수,"1,500",2008-11-15,2009-03-30
전라남도,완도군,노화읍,제한급수,"1,500",2009-11-02,2010-04-04
전라남도,완도군,노화읍,제한급수,"1,500",2010-11-15,2011-07-03
전라남도,완도군,노화읍,제한급수,"1,350",2011-10-31,2012-04-02
전라남도,완도군,노화읍,제한급수,391,2011-10-14,2012-04-25
전라남도,완도군,노화읍,제한급수,391,2013-09-06,2014-09-04
전라남도,완도군,노화읍,제한급수,"1,500",2013-12-02,2014-05-04
전라남도,완도군,노화읍,제한급수,391,2017-07-13,2018-05-13
전라남도,완도군,노화읍,제한급수,"4,978",2017-08-07,2018-03-20
전라남도,완도군,보길면,제한급수,"1,800",2007-12-10,2008-05-28
전라남도,완도군,보길면,제한급수,"1,800",2008-11-15,2009-03-30
전라남도,완도군,보길면,제한급수,"1,800",2009-11-02,2010-04-04
전라남도,완도군,보길면,제한급수,"1,800",2010-11-15,2011-07-03
전라남도,완도군,보길면,제한급수,"1,800",2011-10-31,2012-04-02
전라남도,완도군,보길면,제한급수,"1,800",2013-12-02,2014-05-04
전라남도,완도군,보길면,제한급수,"2,946",2017-08-07,2018-03-20
전라남도,완도군,소안면,제한급수,"2,458",2008-02-12,2008-05-28
전라남도,완도군,소안면,제한급수,"2,458",2008-10-31,2009-03-23
