"일자	",순위,토픽1,토픽2,토픽3,토픽4,토픽5,토픽6,토픽 키워드
2012.1.1,1,유럽,재정,위기,증시,,,"최대_변수,정권교체_주목,선거,증시,실물경제_본격_위축,유럽_위기,재정,교체,회복,실물경제,오바마,유럽,위기,재선,정권,경제회복,최대,주목,경제,위축,변수"
2012.1.1,2,새해,예산안,국회,본회의,통과,,"면죄부,본회의,연속_합의_처리_불발,적발,한국판,내장,연속_합의,연말,새해_예산안_본회의_처리,버핏세,처리_언제나,처리,기부금,예산안_처리,단독_처리,영수증_적발,청목회,기습처리,여야,입법로비_면죄부법안_기습_처리,예정,국회,입법,국세청,새해,언제나,국회_예산안,로비,법사위,제대로,법안,입법로비_면죄부법안,가짜_기부금,종교,합의_처리,청목회법,한국판_버핏세,사법,방송,단독,소득,예산안,기습,판매대행법,한나라당,새해_예산안,불발,영수증,기관,사법처리,종교기관,통과,기부,공제,연속,기습_처리,사실상,박근혜,처리_불발,국회_법사위,방송광고판매대행법,합의,예산,가짜,국회_기습처리,본회의_처리,광고"
2012.1.1,3,삼성,이건희,회장,글로벌,위기,투자,"참석,회장,삼성_이건희,이건희,투자,연속,재용,어떤_화두,부자,글로벌,어떤,이건희_회장,위기,이재용,주식,이건희_어떤,주식부자,이건희_어떤_화두,화두,삼성"
2012.1.1,4,경찰,학교,폭력,구속,수사,확대,"경찰,확대,추진,사범,서클,광주_중학생,고소,불량,폭행,수사,학교,학생,구속수사_확대,구속_수사,학교_폭력,광주,중학,구속수사,사망,학교폭력_사범,해체,초등생_학교폭력,방침,고소장,폭행_학생_수사,학교폭력,광주_중학생_사망,구속,폭행_학생,초등,전쟁,불량서클,폭력"
2012.1.1,5,주택분양,시장,블루,새해,문,연다,"강남,투자,미성동_주택화재,건설,보금자리,서울_청룡동,시장,상표권,가시밭길,도시,블루,릴까,도시형,분양,연다,화재,청룡동,정릉,손절매,심리,새해,주택분양_시장,주택_손절매_전략,피해,주택_구매,보금자리주택,원칙,서울,전략,패소,상표권_침해소송,동부건설,주택_손절매,상표,강남_오피스텔,주택,서울_정릉동,정릉동,서울_정릉동_주택_불,구매,선물,동부주택건설,상표권_침해소송_패소,침해,투자심리,새해_문_연다,오피스텔,소송,미성동,화상,동부"
2012.1.1,6,무역,흑자,달러,전년,감소,,"대비,전년대비,감소,무역,전년,흑자,달러"
2012.1.1,7,김정남,김정일,사망,직후,조문,,"유해,물다,김정일_사망직후,추도,비상대기,보수단체_보안법,추도기간,부인_이수자,추도기간_종료,고발,김정일_국방위원장_추도기간_종료,시대,철권통치,요미우리,특수부대,기간,김정일_사망직후_귀국,김정일_사망후,특수,김정일,국방,윤이상_부인,비상,김정일_조문,김정일_사망_직후_귀국,김정일_조문_이수자씨_입국,보수,김정일_참배,단체,이수자,보도,김정,대기,보수단체_보안법_위반_고발,사망_직후_귀국,김정일_사망,조문,訪北,보안법,윤이상,김정일_사망후_박근혜,안철수,입국,위원장,김정일_사후,김정남,사망,이수자씨_입국,종료,김정일_국방위원장,박근혜,사후,남북,지지율,위반,부인_입국,귀국,訪北_윤이상씨,참배,남북관계,위반_고발,부인,부대,김정일_사망_직후_조문"
2012.1.1,8,신년,김정,유일,영도,충성,강조,"김정,유일,확립,강조,등장,신년,유일적_영도,미군_철수,충성,유일적_영도_확립,영도,미군,철수"
2012.1.1,9,남영동,대공분실,故,김근태,고문,조화,"경찰,나와,김근태_추모,감동,근태,분향소_설치_의견,고문_당한,김근태_고문_조화,남영동_대공분실,추모,현장,설치,고문_조화,대공분실,고문,당한,의견,김근태_추모_조화,조화,대공,故_김근태_고문_조화,남영동,분향소_설치,고문_현장,김근태_조화,분향소,고문_현장_대공분실,김근태,김근태_고문,경찰관,분실"
2012.1.1,10,김정,체제,앞날,한반,한반도,전문가,"체제_앞날,김정,한반도,실망,체제,대남,전문가,체제_앞날_한반,한반,대남_비난,비난,앞날"
