시도명,시군구명,종량제봉투종류,종량제봉투처리방식,종량제봉투용도,종량제봉투사용대상,1ℓ가격,1.5ℓ가격,2ℓ가격,2.5ℓ가격,3ℓ가격,5ℓ가격,10ℓ가격,20ℓ가격,30ℓ가격,50ℓ가격,60ℓ가격,75ℓ가격,100ℓ가격,120ℓ가격,125ℓ가격,관리부서명,관리부서전화번호,데이터기준일자,제공기관코드,제공기관명
전라남도,완도군,재사용규격봉투,소각용,음식물쓰레기,기타,0,0,0,0,0,110,220,0,0,0,1300,0,0,2600,0,환경산림과,061-550-5511,2020-08-10,4990000,전라남도 완도군
경상남도,고성군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,100,200,400,600,1000,0,0,2000,0,0,환경과,055-670-2413,2020-07-10,5420000,경상남도 고성군
대전광역시,대덕구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,100,170,330,660,0,1650,0,0,3300,0,0,기후환경과,042-608-6834,2021-06-24,3680000,대전광역시 대덕구
대전광역시,대덕구,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,330,660,0,0,0,0,0,0,0,기후환경과,042-608-6834,2021-06-24,3680000,대전광역시 대덕구
대전광역시,대덕구,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,2630,0,0,0,0,0,기후환경과,042-608-6834,2021-06-24,3680000,대전광역시 대덕구
경상북도,영천시,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,180,360,0,0,0,0,0,0,0,자원순환과,054-330-6193,2021-06-25,5100000,경상북도 영천시
경상북도,영천시,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,90,180,360,0,900,0,1350,1800,0,0,자원순환과,054-330-6193,2021-06-25,5100000,경상북도 영천시
부산광역시,강서구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,150,270,510,780,1240,0,1830,0,0,0,청소행정과,051-970-4434,2021-06-23,3360000,부산광역시 강서구
충청북도,단양군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,130,260,0,640,0,0,1270,0,0,환경과,043-420-2683,2021-06-21,4480000,충청북도 단양군
충청북도,단양군,재사용규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,환경과,043-420-2683,2021-06-21,4480000,충청북도 단양군
강원도,인제군,규격봉투,소각용,생활쓰레기,가정용,0,0,40,0,60,90,150,300,0,740,0,0,1470,1700,0,환경보호과,033-460-2063,2021-06-10,4330000,강원도 인제군
대구광역시,서구,규격봉투,매립용,생활쓰레기,가정용,0,0,0,0,100,150,290,560,850,1400,0,2080,2770,0,0,환경청소과,053-663-2711,2021-09-30,3430000,대구광역시 서구
강원도,고성군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,140,260,500,0,1220,0,0,2410,0,0,환경보호과,033-680-3982,2021-10-15,4340000,강원도 고성군
강원도,고성군,규격봉투,소각용,음식물쓰레기,가정용,0,0,60,0,80,120,0,0,0,0,0,0,0,0,0,환경보호과,033-680-3982,2021-10-15,4340000,강원도 고성군
강원도,고성군,특수규격마대,매립용,생활쓰레기,가정용,0,0,0,0,0,0,0,0,0,1540,0,0,0,0,0,환경보호과,033-680-3982,2021-10-15,4340000,강원도 고성군
충청북도,옥천군,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,0,80,140,270,400,650,0,1000,1300,0,0,환경과,043-730-3452,2021-10-21,4430000,충청북도 옥천군
서울특별시,관악구,규격봉투,소각용,생활쓰레기,가정용,0,0,0,0,90,130,250,490,740,1250,0,1880,0,0,0,청소행정과,02-879-6206,2021-10-15,3200000,서울특별시 관악구
